case_id,expected_outcome,actual_outcome,expected_match,runtime_passed,semantic_oracle_score,requirement_recall,foundation_recall,capability_recall
SSMB2-001,GENERATABLE,REJECTED,False,False,0.9761904761904762,1.0,0.8571428571428571,1.0
SSMB2-002,GENERATABLE,GENERATABLE,True,True,0.9722222222222222,1.0,0.8333333333333334,1.0
SSMB2-003,GENERATABLE,REJECTED,False,False,1.0,1.0,1.0,1.0
SSMB2-004,GENERATABLE,GENERATABLE,True,False,0.9666666666666667,1.0,0.8,1.0
SSMB2-005,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-006,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-007,GENERATABLE,REJECTED,False,False,0.9523809523809523,1.0,0.7142857142857143,1.0
SSMB2-008,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-009,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-010,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-011,GENERATABLE,REJECTED,False,False,0.9666666666666667,1.0,0.8,1.0
SSMB2-012,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-013,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-014,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-015,GENERATABLE,GENERATABLE,True,True,0.9666666666666667,1.0,0.8,1.0
SSMB2-016,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-017,GENERATABLE,REJECTED,False,False,0.9666666666666667,1.0,0.8,1.0
SSMB2-018,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-019,GENERATABLE,GENERATABLE,True,True,0.9523809523809523,1.0,0.7142857142857143,1.0
SSMB2-020,GENERATABLE,GENERATABLE,True,True,0.9761904761904762,1.0,0.8571428571428571,1.0
SSMB2-021,GENERATABLE,GENERATABLE,True,True,0.9761904761904762,1.0,0.8571428571428571,1.0
SSMB2-022,GENERATABLE,GENERATABLE,True,True,0.9583333333333334,1.0,0.75,1.0
SSMB2-023,GENERATABLE,REJECTED,False,False,0.9444444444444444,1.0,0.6666666666666666,1.0
SSMB2-024,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-025,GENERATABLE,REJECTED,False,False,0.9722222222222222,1.0,0.8333333333333334,1.0
SSMB2-026,GENERATABLE,GENERATABLE,True,True,1.0,1.0,1.0,1.0
SSMB2-027,REJECTED,REJECTED,True,True,1.0,1.0,1.0,1.0
SSMB2-028,REJECTED,REJECTED,True,True,0.9444444444444444,1.0,0.6666666666666666,1.0
SSMB2-029,REJECTED,REJECTED,True,True,0.9444444444444444,1.0,0.6666666666666666,1.0
SSMB2-030,REJECTED,REJECTED,True,True,1.0,1.0,1.0,1.0
